__row__,PassengerId,__fold__,pred_0,pred_1
0,1,1,0.9319964355073876,0.06800356449261234
1,2,4,0.01386634899882766,0.9861336510011723
2,3,3,0.46502630823377344,0.5349736917662266
3,4,3,0.012844992122597376,0.9871550078774026
4,5,0,0.8977436730726202,0.10225632692737985
5,6,4,0.8386248788965038,0.16137512110349622
6,7,0,0.9156484369999595,0.08435156300004056
7,8,4,0.8496854289621019,0.15031457103789808
8,9,4,0.5450818860786303,0.4549181139213697
9,10,3,0.04884849350658582,0.9511515064934142
10,11,2,0.20429104793541575,0.7957089520645843
11,12,4,0.10889485021073364,0.8911051497892664
12,13,4,0.8889836600634513,0.11101633993654872
13,14,0,0.9420866999172559,0.05791330008274409
14,15,3,0.2676352945857904,0.7323647054142096
15,16,3,0.18995957301899313,0.8100404269810069
16,17,1,0.9058803717159823,0.09411962828401761
17,18,4,0.8830376231787984,0.11696237682120163
18,19,3,0.24991428958407347,0.7500857104159265
19,20,0,0.2583175946085743,0.7416824053914257
20,21,1,0.8145585427366958,0.18544145726330422
21,22,3,0.8624387464865024,0.13756125351349757
22,23,1,0.28800217842004816,0.7119978215799518
23,24,1,0.6502823914145335,0.34971760858546647
24,25,0,0.9002229277926801,0.09977707220731986
25,26,4,0.9419049169734944,0.058095083026505547
26,27,0,0.8185552558869511,0.18144474411304892
27,28,2,0.7010923067786492,0.29890769322135086
28,29,0,0.2880415484679102,0.7119584515320898
29,30,2,0.9008910866893034,0.09910891331069666
30,31,0,0.5011857963910492,0.4988142036089508
31,32,0,0.01861186102947443,0.9813881389705256
32,33,4,0.35079165451032124,0.6492083454896788
33,34,3,0.936299659435921,0.06370034056407907
34,35,0,0.489256911634801,0.510743088365199
35,36,1,0.6530461701152958,0.34695382988470425
36,37,2,0.9118101286565113,0.0881898713434887
37,38,4,0.9263560070414284,0.07364399295857159
38,39,3,0.6199215234743354,0.3800784765256647
39,40,1,0.425237929989015,0.574762070010985
40,41,1,0.7581020131015543,0.2418979868984457
41,42,4,0.11964923448999831,0.8803507655100017
42,43,1,0.9000155119402089,0.09998448805979113
43,44,0,0.06027704795566402,0.939722952044336
44,45,4,0.3016411017143401,0.6983588982856599
45,46,0,0.9121748532754419,0.08782514672455813
46,47,4,0.7620133918968591,0.2379866081031409
47,48,2,0.2564463684289878,0.7435536315710122
48,49,1,0.7399023391371862,0.26009766086281383
49,50,2,0.6337988322080503,0.36620116779194967
50,51,4,0.9619082801516656,0.038091719848334406
51,52,4,0.9019084316410346,0.09809156835896538
52,53,1,0.023489630101327652,0.9765103698986723
53,54,0,0.17757947983779054,0.8224205201622095
54,55,2,0.7968479133580051,0.20315208664199494
55,56,0,0.761610024047219,0.23838997595278097
56,57,1,0.16599170561843957,0.8340082943815604
57,58,4,0.8494867656301562,0.1505132343698438
58,59,2,0.046523097538291536,0.9534769024617085
59,60,4,0.9734701228478099,0.026529877152190167
60,61,0,0.8299892727749851,0.1700107272250149
61,62,1,0.033720550357481005,0.966279449642519
62,63,1,0.6296839231124958,0.37031607688750423
63,64,0,0.843667209838789,0.156332790161211
64,65,0,0.5831993512477193,0.41680064875228073
65,66,3,0.6889691186282895,0.31103088137171053
66,67,0,0.11310408557582552,0.8868959144241745
67,68,1,0.8654007093698313,0.13459929063016868
68,69,0,0.8750230522178509,0.12497694778214906
69,70,3,0.9407758785793973,0.05922412142060274
70,71,4,0.8128223913534727,0.18717760864652733
71,72,1,0.9183312109665552,0.08166878903344481
72,73,1,0.6921586884605269,0.30784131153947314
73,74,3,0.8680704027030172,0.13192959729698286
74,75,2,0.5413197859801013,0.4586802140198986
75,76,0,0.8906914587450964,0.10930854125490368
76,77,1,0.9000216494904243,0.09997835050957565
77,78,3,0.9191849568533156,0.08081504314668442
78,79,1,0.07025227503467313,0.9297477249653269
79,80,0,0.5593104471587838,0.4406895528412163
80,81,4,0.9281985802724589,0.07180141972754107
81,82,4,0.9132456772900144,0.08675432270998566
82,83,4,0.31579524281890536,0.6842047571810946
83,84,4,0.6457886829980092,0.3542113170019908
84,85,4,0.1267472635191902,0.8732527364808098
85,86,1,0.6182015558424594,0.3817984441575406
86,87,2,0.9217128028645007,0.07828719713549921
87,88,4,0.9114077322893459,0.0885922677106541
88,89,1,0.20840225649745192,0.7915977435025481
89,90,3,0.9259587440978965,0.07404125590210348
90,91,0,0.9076461942654623,0.09235380573453766
