__row__,transaction_id,__fold__,pred_0,pred_1
259769,T000259769,0,0.999186910144101,0.0008130898558990574
259770,T000259770,0,0.9098087797021193,0.09019122029788068
259771,T000259771,0,0.9988348233911023,0.0011651766088977326
259772,T000259772,0,0.9893752992293109,0.010624700770689072
259773,T000259773,0,0.9986013949477839,0.0013986050522161646
259774,T000259774,0,0.99894983819074,0.001050161809259962
259775,T000259775,0,0.9954666470567367,0.004533352943263243
259776,T000259776,0,0.9955119222167274,0.004488077783272682
259777,T000259777,0,0.9985462028133119,0.001453797186688116
259778,T000259778,0,0.997131554326517,0.0028684456734830092
259779,T000259779,0,0.00011868097719114346,0.9998813190228089
259780,T000259780,0,0.9987452196374041,0.0012547803625958002
259781,T000259781,0,0.9902909008592441,0.00970909914075591
259782,T000259782,0,0.9874784431344399,0.012521556865560099
259783,T000259783,0,0.9927789842523426,0.007221015747657395
259784,T000259784,0,0.9811217026863904,0.01887829731360961
259785,T000259785,0,0.9989567465043758,0.001043253495624122
259786,T000259786,0,0.9986569344791422,0.0013430655208578153
259787,T000259787,0,0.9980767728793959,0.0019232271206040868
259788,T000259788,0,0.992716524405042,0.007283475594957981
259789,T000259789,0,0.9981160728707597,0.001883927129240366
259790,T000259790,0,0.9923019427583246,0.0076980572416753545
259791,T000259791,0,0.0008137533844164713,0.9991862466155835
259792,T000259792,0,0.9978259538986526,0.002174046101347383
259793,T000259793,0,0.9994125771398348,0.0005874228601652495
259794,T000259794,0,0.9990161115820978,0.0009838884179022202
259795,T000259795,0,0.9966482151326175,0.0033517848673825777
259796,T000259796,0,0.997472241765507,0.0025277582344930788
259797,T000259797,0,0.966180444543163,0.033819555456836986
259798,T000259798,0,0.9982526810302899,0.00174731896971012
259799,T000259799,0,0.9973882973491464,0.0026117026508536718
259800,T000259800,0,0.9985948879855557,0.001405112014444252
259801,T000259801,0,0.9991058799468947,0.0008941200531053505
259802,T000259802,0,0.9980122492587852,0.0019877507412148533
259803,T000259803,0,0.00022162969671690735,0.9997783703032831
259804,T000259804,0,0.9981647463269121,0.0018352536730879376
259805,T000259805,0,0.9976053821608791,0.0023946178391209116
259806,T000259806,0,0.9979405945834532,0.002059405416546762
259807,T000259807,0,0.9940652054535817,0.0059347945464182945
259808,T000259808,0,0.006523861850505019,0.993476138149495
259809,T000259809,0,2.6261495185697648e-05,0.9999737385048143
259810,T000259810,0,0.9970972733404687,0.0029027266595312616
259811,T000259811,0,0.9933724590125366,0.006627540987463433
259812,T000259812,0,0.998699142126763,0.0013008578732369516
259813,T000259813,0,0.9990710619682615,0.0009289380317385685
259814,T000259814,0,0.9978872410877082,0.0021127589122917636
259815,T000259815,0,0.9962628655986774,0.0037371344013226713
259816,T000259816,0,0.9990783240015287,0.0009216759984712445
259817,T000259817,0,0.9987595619133179,0.0012404380866820836
259818,T000259818,0,0.9981476339174741,0.0018523660825259512
259819,T000259819,0,0.998703698945652,0.0012963010543479174
259820,T000259820,0,4.642317662728601e-05,0.9999535768233727
259821,T000259821,0,0.9982591767684307,0.001740823231569279
259822,T000259822,0,0.9987644851112331,0.0012355148887669858
